,id,location_short,location_long,time,SELd,SELe,SELn,SELden,SEL,SEL_dB,lasmax_dB,distance,altitude,label,windspeed,winddirection,callsign,type,tags,duration,hex_s,registration,icao_type,serial,operator,lat,lng
0,130569931,Aa,Aalsmeerderweg,2025-01-15 10:23:07,164635000.0,0.0,0.0,164635000,164635000,82.1652248455343,71.6000001822286,744.692,146.2,21,,,FIN47U,Airbus A350 941,,74,461F53,OH-LWL,A359,134,,52.272,4.772
1,130572821,Da,Darwinstraat,2025-01-15 10:21:49,38002600.0,0.0,0.0,38002600,38002600,75.79812944789097,63.000000326110325,935.29,331.607,21,,,FIN47U,Airbus A350 941,,61,461F53,OH-LWL,A359,134,,52.234,4.759
2,130567441,Bl,Blaauwstraat,2025-01-15 10:23:00,530837000.0,0.0,0.0,530837000,530837000,87.24961074847761,79.20000000464614,155.217,149.36,21,,,FIN47U,Airbus A350 941,,82,461F53,OH-LWL,A359,134,,52.265,4.774
3,130578751,Ho,Hornweg,2025-01-15 10:23:05,23882600.0,0.0,0.0,23882600,23882600,73.7808164124633,61.59999978094599,937.741,146.2,21,,,FIN47U,Airbus A350 941,,39,461F53,OH-LWL,A359,134,,52.269,4.788
4,5735881,Be,Bertram,2025-01-15 10:22:40,746260.0,0.0,0.0,746260,746260,58.728899819270204,48.200000102117556,3137.41,213.834,21,,,FIN47U,Airbus A350 941,,19,461F53,OH-LWL,A359,134,,52.252,4.82
5,42047211,Am,Ambroziolaan,2025-01-15 10:21:09,29323800.0,0.0,0.0,29323800,29323800,74.67220574609372,61.90000025590525,1163.83,566.502,21,,,FIN47U,Airbus A350 941,,110,461F53,OH-LWL,A359,134,,52.196,4.754
6,42049691,Te,Teylersplein,2025-01-15 10:21:07,450256000.0,0.0,0.0,450256000,450256000,86.5345944709968,76.79999982564107,829.528,598.609,21,,,FIN47U,Airbus A350 941,,92,461F53,OH-LWL,A359,134,,52.191,4.76
7,42051771,Sp,Sportlaan,2025-01-15 10:20:55,62225100.0,0.0,0.0,62225100,62225100,77.93965742810363,65.19999974727581,894.839,630.5,21,,,FIN47U,Airbus A350 941,,78,461F53,OH-LWL,A359,134,,52.185,4.777
